CC-CHEM 161 01-04 - Harbol (CRN: 1880, 1890, 1900, 1910); 9780393919370; Chemistry (4E 15); Gilbert; 4; Required - Choose format; False; 
CC-CHEM 162 01-03 - Harbol (CRN: 1920, 1930, 1940); 9780393124187; Loose Leaf Chemistry (4E 15); Gilbert; 4; Required - Choose format; False; 
CC-CHEM 162 01-03 - Harbol (CRN: 1920, 1930, 1940); 9780393124170; Chemistry (4E 15); Gilbert; 4; Required - Choose format; False; 
CC-CHEM 162 01-03 - Harbol (CRN: 1920, 1930, 1940); 9780393919370; Chemistry (4E 15); Gilbert; 4; Required - Choose format; False; 
CC-CMST 101 OL1 - Waddell (CRN: 2020); 9780190297084; Understanding Human Communication (13E 16); Adler; 13; Required; False; 
CC-CMST 105 01 - Davenport (CRN: 1960); 9780134319056; Excellence In Business Communication (12E 17); Thill; 12; Required; False; 
CC-CMST 110 H1 - Davenport (CRN: 1970); 9780134046785; New New Media; Levinson; 2; Required; False; 
CC-CMST 150 01-02 - Davenport (CRN: 1980, 1990); 9780321919069; Diversity Consciousness (4E 14); Bucher; 4; Required; False; 
CC-CMST 210 OL1 - Waddell (CRN: 2030); 9781305645349; Looking Out, Looking In (15E 17); Adler; 15; Required; False; 
CC-CMST 211 01 - Ortiz (CRN: 2010); 9781118712924; World Cinema Through Global Genres; Costanzo; ; Required; False; 
CC-CMST 220 01 - Ortiz (CRN: 2050); 9781285445854; Public Speaking (8E 16); Jaffe; 8; Required; False; 
CC-CMST 220 LC1 - Waddell (CRN: 2060); 9782222222224; See Instructor for Course Materials; Instructor; ; No Purchase Necessary; False; 
CC-CMST 220 OL1 - Munsell (CRN: 2070); No Text Required
CC-COLL 101 01 - Fruit (CRN: 2080); 9780062851345; Dear America; Vargas, Jose Antonio; ; Required; False; 
CC-COLL 101 06 - Yu (CRN: 2140); 9782222222224; See Instructor for Course Materials; Instructor; ; No Purchase Necessary; False; 
CC-COLL 101 ILB - Michaels (CRN: 2180); 9781609809072; Ink Knows No Borders; Vecchione; ; Required; False; 
CC-COLL 101 OL1 - Tuominen (CRN: 2200); 9780544811959; $2.00 a Day; Edin; ; Required; False; 
CC-COLL 101 OL2 - Cardenas (CRN: 2210); No Text Required
CC-EDUC 205 1OL - Hansen (CRN: 2280); No Text Required
CC-ELP 010 READING 1 - Staff (CRN: 7101); 9780134399348; Password 1 (3E 17); Butler; 3; Required; False; 
CC-ELP 011 GRAMMAR 1 - Staff (CRN: 7111); 9780134646145; 2 P/S Bk.A Basic English Grammar (4E 14) w/ workbook; Azar; 4; Required; False; 
CC-ELP 012 WRITING 1 - Staff (CRN: 7121); 9781285194981; Great Writing : Foundations; Folse; 14; Required; False; 
CC-ELP 014 SPEAKING & LISTENING 1 - Staff (CRN: 7141); 9781316620885; 2 P/S Prism Intro, Listening & Speaking w/ Online Wkbk; White; ; Required; False; 
CC-ELP 020 READING 2 - Staff (CRN: 7201); 9780134399355; Password 2 (3E 17); Butler; 3; Required; False; 
CC-ELP 021 GRAMMAR 2 - Staff (CRN: 7211); 9781107668171; 3 P/S Lev.1 Grammar & Beyond w/ Workbook & Writing Skills Interactive; Reppen; ; Required; False; 
CC-ELP 022 WRITING 2 - Staff (CRN: 7221); 9780132313506; Focus On Writing 1; Haugnes; ; Required; False; 
CC-ELP 024 SPEAKING & LISTENING 2 - Staff (CRN: 7241); 9780134280783; 3 P/S Northstar Listening & Speaking 1 (4E 15) w/ Interactive Student Book & MyEnglishLab; Merdinger; 4; Required; False; 
CC-ELP 030 READING 3 - Staff (CRN: 7302); 9780134399379; Password 3 (3E 17); Butler; 3; Required; False; 
CC-ELP 031 GRAMMAR 3 - Staff (CRN: 7311); 9781107692145; 3 P/S Lev.2 Grammar & Beyond w/ Workbook &  Writing Skills Interactive; Reppen; ; Required; False; 
CC-ELP 032 WRITING 3 - Staff (CRN: 7321); 9780132313520; 2 P/S Focus on Writing 2 w/ MyEnglishLab; Solorzano; ; Required; False; 
CC-ELP 034 SPEAKING & LISTENING 3 - Staff (CRN: 7341); 9780134280813; 3 P/S Northstar 2 (4E 16) w/ Interactive Student Book & MyEnglishLab; Frazier; 4; Required; False; 
CC-ELP 040 READING 4 - Staff (CRN: 7401); 9781305579989; Reading For Today 3, Issues (5E 16); Smith; 5; Required; False; 
CC-ELP 041 GRAMMAR 4 - Staff (CRN: 7411); 9781305386952; 2 P/S Grammar In Context 3 (6E 16) w/ Online Wkbk; Elbaum; 6; Required; False; 
CC-ELP 042 WRITING 4 - Staff (CRN: 7421); 9781107495418; 2 P/S Lev.2 Final Draft w/ Online Writing Pack; Bauer; ; Required; False; 
CC-ELP 044 SPEAKING & LISTENING 4 - Staff (CRN: 7441); 9780194417280; Lecture Ready 2; Sarosy; ; Required; False; 
CC-ELP 050 READING 5 - Staff (CRN: 7501); 9781305579996; Reading for Today 4, Concepts (4E 16); Smith; 4; Required; False; 
CC-ELP 051 GRAMMAR 5 - Staff (CRN: 7511); 9781305511699; 2 P/S Grammar Explorer 3 w/ Online Wkbk; Cooper; ; Required; False; 
